lead_source,industry,number_of_courses_viewed,annual_income,employment_status,location,interaction_count,lead_score,converted
organic_search,,0,62595,employed,,3,0.53,0
paid_ads,healthcare,2,49596,employed,europe,2,0.77,1
paid_ads,retail,1,43115,self_employed,africa,2,0.94,0
paid_ads,manufacturing,2,43984,student,africa,3,0.69,0
events,retail,0,,self_employed,north_america,2,0.98,0
paid_ads,manufacturing,4,87650,student,australia,1,0.83,1
events,,1,78154,self_employed,south_america,2,0.48,0
organic_search,other,3,66363,employed,middle_east,2,0.31,1
social_media,technology,2,54026,,north_america,1,0.32,0
referral,technology,0,48246,student,africa,6,0.44,1
social_media,technology,3,59337,unemployed,africa,2,0.58,1
social_media,healthcare,1,57537,student,south_america,2,0.28,0
referral,retail,5,,self_employed,middle_east,2,0.21,1
organic_search,technology,3,62453,unemployed,north_america,2,0.6,1
organic_search,technology,2,88795,self_employed,europe,3,0.94,1
events,retail,2,64960,unemployed,australia,0,0.59,0
social_media,other,1,32859,unemployed,asia,2,0.97,0
events,finance,0,71362,self_employed,australia,2,0.88,0
events,healthcare,4,62522,,south_america,3,0.64,1
social_media,finance,2,83260,self_employed,middle_east,1,0.4,0
referral,manufacturing,0,63767,self_employed,middle_east,4,0.78,1
social_media,finance,5,55156,employed,australia,1,0.47,1
social_media,technology,1,66963,employed,north_america,0,0.71,0
,retail,6,36434,employed,,4,0.88,1
,finance,0,60856,unemployed,africa,3,0.76,1
,education,4,,self_employed,middle_east,4,0.33,1
referral,education,1,65303,unemployed,africa,4,0.99,1
paid_ads,manufacturing,2,59334,employed,africa,5,0.69,1
social_media,other,2,79461,,north_america,3,0.0,0
paid_ads,healthcare,2,68243,employed,north_america,4,0.73,1
events,healthcare,2,66519,unemployed,africa,4,0.33,1
paid_ads,,5,48327,employed,north_america,0,0.89,1
events,healthcare,3,74739,student,europe,5,0.43,1
organic_search,other,1,41839,unemployed,australia,2,0.17,0
social_media,finance,1,40801,employed,,5,0.5,1
social_media,education,2,50069,employed,north_america,5,0.74,1
social_media,other,2,59720,student,europe,4,0.55,1
paid_ads,,1,72926,self_employed,south_america,2,0.71,0
organic_search,technology,2,71354,student,middle_east,6,0.02,1
,healthcare,2,66218,self_employed,africa,2,0.76,0
referral,other,1,55736,student,asia,2,0.96,1
organic_search,retail,1,32912,unemployed,asia,3,0.36,0
,healthcare,3,74895,employed,australia,4,0.4,1
referral,healthcare,1,33010,student,,5,0.61,1
events,,2,73174,unemployed,north_america,5,0.01,1
social_media,healthcare,0,77320,employed,asia,1,0.35,0
paid_ads,healthcare,0,57209,employed,south_america,3,0.17,0
referral,manufacturing,3,62500,student,australia,1,0.08,0
paid_ads,manufacturing,2,71889,self_employed,asia,2,0.18,0
social_media,other,1,43941,employed,middle_east,2,0.4,0
organic_search,other,3,,,middle_east,5,0.45,1
paid_ads,education,2,74474,employed,north_america,2,0.6,0
social_media,technology,1,68429,employed,europe,5,0.28,1
social_media,technology,0,66594,employed,africa,2,0.04,0
social_media,other,2,56754,student,europe,5,0.41,1
events,healthcare,2,75215,student,asia,3,0.03,0
referral,healthcare,1,59742,employed,australia,3,0.77,1
paid_ads,finance,3,43063,unemployed,middle_east,4,0.66,1
organic_search,retail,3,72482,employed,europe,4,0.85,1
paid_ads,education,1,59105,unemployed,north_america,2,0.53,0
events,manufacturing,4,74508,,north_america,1,0.23,1
organic_search,other,2,71603,self_employed,asia,6,0.41,1
organic_search,retail,0,,self_employed,australia,3,0.53,0
organic_search,technology,4,66702,employed,asia,4,0.2,1
referral,retail,1,53509,self_employed,north_america,1,0.41,0
events,technology,1,48184,employed,africa,1,0.6,1
social_media,education,3,67877,student,north_america,3,0.11,0
paid_ads,finance,2,41947,self_employed,europe,4,0.1,1
organic_search,finance,0,22524,unemployed,asia,5,0.07,0
referral,finance,2,74166,unemployed,australia,0,0.18,0
paid_ads,retail,5,59349,student,north_america,3,0.96,1
paid_ads,other,2,,employed,europe,2,0.01,0
events,retail,1,75363,unemployed,europe,3,0.53,1
,education,3,,unemployed,africa,4,0.61,0
events,retail,7,60949,unemployed,europe,3,0.39,1
referral,other,1,85286,employed,south_america,3,0.02,1
paid_ads,technology,3,,student,middle_east,4,0.1,1
organic_search,finance,1,73702,unemployed,north_america,2,0.55,0
organic_search,education,3,,student,middle_east,0,0.52,1
organic_search,education,2,50897,student,north_america,3,0.63,1
events,manufacturing,3,74162,self_employed,north_america,2,0.66,1
referral,healthcare,2,52739,unemployed,north_america,2,0.07,0
organic_search,technology,3,59656,unemployed,middle_east,4,0.65,1
referral,finance,2,70750,self_employed,africa,1,0.66,1
social_media,finance,3,52819,employed,africa,5,0.38,1
referral,healthcare,4,64457,self_employed,middle_east,2,0.55,1
events,education,3,53970,student,europe,3,0.54,1
events,retail,5,69305,unemployed,australia,3,0.32,1
organic_search,finance,2,56258,student,australia,5,0.23,1
events,other,5,41790,student,south_america,2,0.55,1
social_media,other,1,45257,employed,south_america,3,0.47,1
events,,1,51851,self_employed,north_america,1,0.2,0
,healthcare,3,46806,self_employed,north_america,3,1.0,1
social_media,manufacturing,0,42430,unemployed,asia,2,0.1,0
events,other,3,30952,student,north_america,1,0.33,1
referral,finance,1,49162,self_employed,asia,3,0.85,1
paid_ads,other,1,54915,unemployed,australia,3,0.96,0
social_media,healthcare,1,58220,employed,africa,4,0.69,1
events,technology,1,45590,student,europe,3,0.97,1
,healthcare,2,58210,self_employed,north_america,1,0.62,0
organic_search,technology,0,63425,unemployed,africa,2,0.4,0
paid_ads,manufacturing,6,75389,student,,2,0.04,1
events,technology,1,41582,self_employed,africa,2,0.84,0
referral,,1,50333,,middle_east,5,0.82,1
organic_search,education,3,,student,middle_east,3,0.2,0
organic_search,retail,1,64448,self_employed,australia,2,0.2,0
organic_search,healthcare,0,69942,student,europe,2,0.5,0
referral,healthcare,1,80452,student,africa,1,0.02,0
referral,,2,63414,student,africa,6,0.75,1
referral,retail,3,56119,student,asia,6,0.7,1
organic_search,education,0,,student,asia,4,0.34,0
referral,other,3,58279,unemployed,middle_east,5,0.97,1
social_media,,0,55258,self_employed,north_america,2,0.11,0
referral,retail,1,43078,employed,australia,1,0.68,1
organic_search,other,1,76472,employed,middle_east,4,0.58,1
social_media,education,2,73225,student,north_america,1,0.36,1
referral,finance,1,50766,employed,north_america,3,0.1,1
paid_ads,education,5,67861,employed,europe,2,0.35,1
social_media,other,2,20035,self_employed,middle_east,5,0.24,1
social_media,education,1,83104,employed,africa,6,0.38,1
events,retail,3,38048,student,north_america,6,0.97,1
events,technology,2,62011,student,asia,3,0.25,1
referral,finance,1,60038,employed,asia,2,0.93,1
events,retail,0,49591,employed,africa,0,0.4,0
,healthcare,2,56634,student,middle_east,3,0.57,1
referral,manufacturing,2,65303,employed,africa,3,0.13,1
,healthcare,1,57659,self_employed,australia,7,0.75,1
paid_ads,technology,1,43012,student,australia,3,0.87,0
referral,finance,3,45841,employed,north_america,3,0.34,1
,,1,67304,self_employed,asia,1,0.89,0
events,manufacturing,1,52288,employed,south_america,1,0.43,0
paid_ads,healthcare,4,74426,employed,europe,10,0.08,1
paid_ads,retail,3,,self_employed,africa,4,0.31,0
,education,5,66922,employed,europe,5,0.53,1
social_media,manufacturing,3,47308,student,middle_east,4,0.02,1
social_media,retail,0,47340,unemployed,europe,2,0.98,0
social_media,manufacturing,2,80946,student,asia,3,0.56,1
events,,1,82405,self_employed,europe,2,0.29,0
,manufacturing,4,70890,self_employed,north_america,3,0.26,1
events,finance,0,49936,employed,south_america,0,0.2,0
social_media,other,1,78157,self_employed,middle_east,2,0.85,1
events,healthcare,2,,self_employed,south_america,4,0.47,1
events,retail,2,56398,unemployed,middle_east,1,0.88,0
paid_ads,education,0,68696,self_employed,middle_east,3,0.49,0
paid_ads,healthcare,3,52220,unemployed,europe,1,0.07,0
events,manufacturing,4,75559,self_employed,south_america,2,0.72,1
events,technology,0,58247,employed,asia,4,0.81,0
organic_search,healthcare,4,42875,employed,australia,1,0.38,1
paid_ads,technology,2,,,europe,3,0.3,0
events,manufacturing,1,57703,employed,middle_east,4,0.9,1
social_media,finance,5,70807,,australia,4,0.55,1
organic_search,healthcare,5,55720,unemployed,south_america,3,0.14,1
social_media,technology,3,75652,employed,australia,3,0.9,1
social_media,healthcare,4,33234,student,south_america,0,0.87,1
paid_ads,,1,,unemployed,europe,2,0.54,0
referral,finance,2,44974,employed,north_america,0,0.77,0
events,healthcare,3,54193,unemployed,africa,4,0.65,1
paid_ads,retail,1,62243,employed,middle_east,2,0.43,0
events,education,1,74944,employed,europe,2,0.78,1
referral,manufacturing,3,46615,student,africa,0,0.66,1
social_media,healthcare,2,50351,self_employed,africa,4,0.59,1
social_media,technology,0,104863,,australia,4,0.2,1
paid_ads,retail,3,61585,unemployed,south_america,2,0.41,1
events,finance,2,38400,self_employed,asia,1,0.88,0
paid_ads,,1,41392,unemployed,north_america,2,0.75,0
paid_ads,finance,1,47129,,south_america,1,0.93,0
social_media,healthcare,0,41832,unemployed,south_america,1,0.66,0
referral,,3,78343,self_employed,middle_east,7,0.48,1
organic_search,finance,1,67553,student,europe,2,0.61,1
social_media,other,1,54187,unemployed,north_america,2,0.7,0
social_media,retail,2,54799,employed,asia,1,0.38,0
events,other,0,79495,employed,south_america,3,0.25,0
social_media,manufacturing,3,68378,self_employed,asia,4,0.22,1
,other,2,63100,employed,asia,4,0.17,0
referral,finance,0,70544,student,australia,1,0.03,0
referral,healthcare,3,66872,unemployed,,3,0.03,1
events,,1,34730,student,,3,0.31,0
referral,other,5,50523,unemployed,middle_east,5,0.64,1
referral,retail,4,,student,australia,2,0.49,1
paid_ads,finance,2,,self_employed,europe,1,0.08,0
social_media,technology,1,94406,,south_america,2,0.35,0
referral,education,2,62165,student,asia,3,0.04,1
,technology,1,48747,student,,5,0.03,0
referral,education,1,68218,self_employed,asia,2,0.37,1
organic_search,healthcare,2,51633,student,australia,2,0.94,1
social_media,finance,0,33824,self_employed,europe,5,0.51,1
,finance,1,50049,employed,north_america,1,0.73,1
,education,3,60190,self_employed,south_america,2,0.61,1
paid_ads,technology,2,59222,self_employed,,2,0.01,1
paid_ads,education,0,58050,employed,africa,4,0.49,0
paid_ads,other,2,60275,self_employed,middle_east,3,0.63,1
referral,manufacturing,2,43795,student,europe,3,0.29,1
social_media,,4,60316,self_employed,middle_east,5,0.38,1
paid_ads,retail,1,67092,self_employed,australia,4,0.98,1
social_media,retail,1,67031,self_employed,south_america,2,0.23,0
referral,retail,0,68914,unemployed,africa,4,0.96,1
organic_search,other,2,,unemployed,middle_east,1,0.93,0
referral,,2,35103,unemployed,africa,0,0.88,0
organic_search,finance,0,68677,self_employed,asia,4,0.67,1
referral,healthcare,0,50031,self_employed,north_america,3,0.98,1
referral,other,0,68194,unemployed,australia,0,0.75,0
organic_search,technology,1,,employed,middle_east,2,0.9,0
social_media,,3,,employed,europe,6,0.75,1
organic_search,technology,0,38217,employed,australia,3,0.56,0
referral,healthcare,4,82306,self_employed,middle_east,3,0.25,1
referral,manufacturing,2,,self_employed,,3,0.83,1
organic_search,other,0,80224,student,europe,3,0.87,0
organic_search,other,1,43907,employed,australia,4,0.33,1
,education,2,66190,self_employed,middle_east,2,0.75,1
social_media,finance,0,51364,student,middle_east,4,0.47,0
paid_ads,manufacturing,1,49116,self_employed,north_america,1,0.25,0
social_media,other,3,63702,unemployed,asia,7,0.59,1
paid_ads,retail,2,78655,self_employed,asia,4,0.72,0
paid_ads,healthcare,1,52170,unemployed,south_america,5,0.64,0
referral,,2,44866,employed,europe,2,0.56,1
events,education,3,69565,employed,asia,8,0.01,1
,manufacturing,5,37797,unemployed,south_america,3,0.0,1
,retail,3,64615,self_employed,,3,0.69,1
paid_ads,retail,0,81217,employed,south_america,3,0.98,0
social_media,healthcare,0,57240,employed,south_america,1,0.51,0
paid_ads,other,1,23720,student,middle_east,1,0.02,0
events,other,0,,employed,middle_east,5,0.75,1
organic_search,finance,4,37196,unemployed,middle_east,7,0.07,1
,technology,2,70002,,south_america,3,0.06,0
social_media,retail,2,50611,student,middle_east,3,0.37,0
events,retail,3,52634,employed,europe,3,0.19,1
events,education,3,42819,employed,north_america,3,0.7,1
organic_search,finance,2,67211,self_employed,europe,3,0.13,1
social_media,retail,0,61956,unemployed,middle_east,2,0.79,1
events,technology,5,73918,unemployed,europe,1,0.77,1
paid_ads,technology,1,50631,unemployed,middle_east,1,0.7,0
social_media,retail,1,70180,student,north_america,4,0.74,1
social_media,retail,3,76548,student,africa,4,0.9,1
social_media,healthcare,0,63187,self_employed,asia,3,0.71,0
paid_ads,manufacturing,3,68767,employed,asia,2,0.59,1
paid_ads,other,2,75036,self_employed,europe,2,0.01,0
events,education,2,55442,employed,south_america,5,0.1,1
events,,3,61850,unemployed,north_america,5,0.84,1
referral,other,1,28242,employed,middle_east,3,0.84,1
referral,other,3,64725,student,africa,5,0.35,1
organic_search,healthcare,2,71768,,australia,4,0.56,0
organic_search,finance,0,30167,unemployed,north_america,4,0.99,1
referral,manufacturing,1,59090,student,,0,0.69,0
,healthcare,3,73049,employed,asia,5,0.24,1
referral,finance,1,26402,student,europe,1,0.16,0
organic_search,,2,,self_employed,australia,3,0.22,1
social_media,,1,72593,unemployed,middle_east,3,0.05,0
,technology,2,,employed,asia,5,0.84,1
paid_ads,technology,2,54271,unemployed,asia,4,0.89,0
referral,retail,1,40841,self_employed,africa,4,0.61,1
social_media,other,3,,employed,australia,7,0.94,1
events,other,5,60082,student,middle_east,2,0.31,1
events,retail,3,70573,self_employed,south_america,2,0.57,1
paid_ads,other,1,51729,,australia,5,0.03,0
referral,healthcare,1,54037,unemployed,europe,5,0.43,1
referral,healthcare,3,71960,student,australia,4,0.63,1
paid_ads,education,3,44886,student,asia,4,0.09,0
paid_ads,technology,1,34303,student,middle_east,3,0.97,0
organic_search,other,1,72056,employed,middle_east,1,0.83,1
referral,manufacturing,2,64252,,asia,1,1.0,0
organic_search,finance,0,55388,unemployed,asia,3,0.04,0
,other,3,,,europe,1,0.51,1
events,manufacturing,5,67671,employed,middle_east,1,0.03,1
referral,retail,3,61326,unemployed,south_america,2,0.77,1
paid_ads,technology,5,26132,employed,south_america,2,0.76,1
organic_search,other,2,56446,self_employed,middle_east,2,0.09,0
events,technology,1,73051,student,australia,3,0.03,1
events,retail,2,78769,student,south_america,3,0.92,1
organic_search,retail,2,52131,self_employed,asia,1,0.96,0
,manufacturing,1,84548,employed,africa,6,0.57,1
organic_search,finance,0,42965,student,asia,3,0.84,1
events,other,1,49180,,north_america,4,0.02,0
organic_search,education,4,55429,student,europe,4,0.01,1
referral,education,1,54797,student,europe,4,0.65,1
referral,healthcare,3,35772,employed,north_america,2,0.67,1
social_media,,3,31809,student,africa,0,0.41,0
events,,0,47008,,middle_east,5,0.36,0
social_media,,3,49364,student,north_america,2,0.58,1
referral,education,3,30134,self_employed,africa,2,0.65,1
paid_ads,technology,2,,self_employed,south_america,2,0.28,0
,healthcare,5,85278,employed,north_america,3,0.43,1
social_media,education,2,71399,,europe,1,0.51,1
organic_search,manufacturing,2,,student,australia,6,0.42,1
events,healthcare,1,76270,student,south_america,3,0.39,0
organic_search,education,1,79448,unemployed,north_america,4,0.38,0
paid_ads,manufacturing,2,73087,unemployed,south_america,4,0.65,0
organic_search,education,3,68333,employed,south_america,6,0.52,1
referral,,1,72576,self_employed,south_america,1,0.03,0
paid_ads,technology,1,44351,unemployed,europe,2,0.66,0
,healthcare,3,,student,asia,5,0.42,1
paid_ads,other,2,58553,unemployed,asia,7,0.81,1
social_media,education,1,58415,unemployed,north_america,5,0.64,1
paid_ads,manufacturing,3,70528,employed,north_america,2,0.89,1
events,finance,1,,unemployed,south_america,4,0.43,1
paid_ads,education,1,,employed,middle_east,2,0.67,0
paid_ads,finance,4,64401,self_employed,north_america,5,0.36,1
events,other,4,16351,self_employed,australia,1,0.33,1
paid_ads,finance,2,49562,student,north_america,2,0.44,1
social_media,education,2,49817,employed,north_america,2,0.84,1
paid_ads,manufacturing,2,60180,student,middle_east,4,0.23,1
organic_search,finance,1,36592,employed,africa,6,0.14,1
referral,manufacturing,1,45060,,south_america,1,0.42,1
social_media,technology,1,55357,self_employed,north_america,4,0.89,1
events,finance,3,73832,unemployed,australia,3,0.62,1
,,1,45180,student,middle_east,2,0.91,0
paid_ads,retail,2,57183,employed,north_america,2,0.2,0
,healthcare,2,45293,unemployed,europe,3,0.79,1
paid_ads,finance,1,47030,employed,middle_east,4,0.91,1
organic_search,healthcare,0,58372,unemployed,south_america,4,0.64,0
paid_ads,manufacturing,2,64287,student,middle_east,3,0.84,1
organic_search,manufacturing,1,81369,student,europe,9,0.65,1
organic_search,retail,1,53409,unemployed,middle_east,4,0.33,0
organic_search,education,3,63142,self_employed,north_america,3,0.02,0
events,retail,1,56982,self_employed,north_america,2,0.84,1
,other,1,44333,unemployed,africa,3,0.35,0
organic_search,manufacturing,2,59359,student,asia,3,0.99,1
referral,education,1,78138,student,middle_east,1,0.71,0
,technology,1,74956,employed,europe,3,0.34,1
social_media,manufacturing,3,70900,student,europe,4,0.38,1
organic_search,retail,3,59335,student,australia,1,0.98,1
organic_search,other,6,57523,student,asia,4,0.32,1
events,finance,1,77270,employed,middle_east,3,0.32,1
referral,manufacturing,0,17735,unemployed,africa,4,0.35,1
events,education,2,,student,australia,2,0.49,1
paid_ads,technology,3,81973,employed,north_america,2,0.59,1
paid_ads,other,2,,self_employed,north_america,3,0.71,1
social_media,healthcare,6,43849,unemployed,north_america,2,0.8,1
,,1,45351,,south_america,1,0.88,0
social_media,finance,3,46934,,australia,3,0.26,1
organic_search,healthcare,2,65227,,south_america,4,0.41,1
events,other,2,66142,student,north_america,5,0.47,1
organic_search,finance,1,53787,self_employed,,6,0.08,1
referral,technology,2,64953,unemployed,africa,1,0.9,0
events,finance,2,82525,self_employed,europe,4,0.46,1
paid_ads,education,2,82111,employed,australia,4,0.48,1
paid_ads,technology,3,70470,unemployed,australia,4,0.71,1
referral,,2,62927,self_employed,south_america,5,0.47,1
referral,manufacturing,2,54480,employed,europe,1,0.94,1
organic_search,other,3,62682,,australia,1,0.15,0
referral,retail,0,63133,unemployed,middle_east,4,0.21,1
social_media,technology,1,60148,self_employed,asia,3,0.82,1
events,finance,1,58741,unemployed,south_america,0,0.73,0
paid_ads,manufacturing,1,56402,student,north_america,1,0.02,0
events,technology,4,41954,unemployed,south_america,2,0.79,1
paid_ads,healthcare,5,65989,employed,africa,0,0.02,0
,technology,1,69263,student,middle_east,2,0.32,0
events,healthcare,1,59789,student,south_america,1,0.7,0
,finance,4,64476,employed,middle_east,3,0.46,1
paid_ads,healthcare,4,57020,unemployed,europe,4,0.6,1
events,retail,5,,employed,south_america,3,0.08,1
referral,,0,,unemployed,south_america,3,0.52,0
referral,other,1,51318,self_employed,south_america,5,0.38,1
events,education,1,75049,employed,europe,6,0.78,1
paid_ads,retail,0,13929,unemployed,asia,1,0.69,0
,manufacturing,5,53672,student,asia,5,0.25,1
referral,education,4,61676,unemployed,north_america,5,0.82,1
paid_ads,manufacturing,4,52389,student,north_america,7,0.64,1
referral,retail,1,69518,employed,north_america,5,0.85,1
organic_search,manufacturing,3,75955,unemployed,north_america,1,0.12,0
organic_search,retail,2,57766,self_employed,africa,3,0.55,0
organic_search,other,1,48318,student,middle_east,2,0.68,1
social_media,retail,3,,student,asia,5,0.29,1
social_media,technology,3,53767,unemployed,middle_east,3,0.76,1
events,education,1,52309,unemployed,europe,4,0.3,0
,,5,70902,student,north_america,2,0.65,1
social_media,finance,3,62702,employed,europe,4,0.66,1
social_media,manufacturing,0,69689,student,australia,0,0.12,0
referral,education,6,51252,unemployed,europe,0,0.66,1
organic_search,manufacturing,1,63127,self_employed,europe,6,0.7,1
paid_ads,manufacturing,2,50053,student,europe,1,0.71,1
social_media,manufacturing,0,61205,unemployed,asia,2,0.07,0
referral,manufacturing,0,70546,employed,middle_east,1,0.91,0
paid_ads,technology,2,72940,student,europe,7,0.96,1
referral,retail,1,54103,unemployed,south_america,3,0.16,0
social_media,manufacturing,2,56070,self_employed,middle_east,2,0.23,1
paid_ads,finance,0,36204,student,australia,3,0.05,0
organic_search,,1,67589,student,middle_east,3,0.08,0
,other,1,,,australia,4,0.73,1
paid_ads,finance,1,49698,unemployed,middle_east,3,0.92,0
events,finance,0,48100,,south_america,1,0.48,0
social_media,healthcare,1,54955,employed,north_america,5,0.16,0
paid_ads,retail,2,47550,employed,asia,2,0.27,0
,,4,50215,employed,australia,1,0.48,1
paid_ads,education,4,53644,self_employed,south_america,6,0.34,1
organic_search,finance,1,,employed,middle_east,3,0.56,0
referral,healthcare,1,57082,self_employed,australia,5,0.46,1
organic_search,education,1,34452,unemployed,middle_east,11,0.81,1
social_media,other,1,66006,employed,south_america,5,0.64,1
,,1,44383,employed,,6,0.08,1
organic_search,finance,1,61706,unemployed,asia,3,0.85,0
paid_ads,education,2,41483,unemployed,south_america,2,0.85,0
referral,other,6,35882,self_employed,,1,0.91,1
referral,retail,3,68607,student,north_america,2,0.51,1
organic_search,finance,2,64988,self_employed,asia,2,0.06,0
paid_ads,healthcare,0,62870,student,europe,4,0.79,0
social_media,retail,1,62807,student,north_america,2,0.33,0
referral,retail,2,58164,self_employed,australia,1,0.2,0
paid_ads,education,2,47092,,australia,3,0.09,0
,other,1,57304,unemployed,europe,4,0.72,1
organic_search,education,2,63983,self_employed,,4,0.94,1
social_media,other,1,69430,unemployed,south_america,3,0.22,0
referral,technology,2,62398,employed,south_america,2,0.08,1
organic_search,,0,59843,unemployed,australia,2,0.75,0
organic_search,technology,1,70679,student,africa,3,0.37,0
referral,manufacturing,4,52014,unemployed,europe,1,0.3,1
social_media,retail,2,86734,self_employed,asia,3,0.89,1
social_media,other,2,69799,student,europe,2,0.16,0
events,retail,1,,unemployed,europe,3,0.8,0
organic_search,retail,1,57145,unemployed,north_america,6,0.01,1
,technology,1,47630,,south_america,2,0.36,0
social_media,retail,5,,student,,0,0.24,1
paid_ads,,1,61141,student,middle_east,3,0.0,0
events,other,1,63191,unemployed,south_america,5,0.75,1
organic_search,manufacturing,1,,unemployed,africa,5,0.45,0
paid_ads,finance,3,,self_employed,north_america,0,0.58,0
social_media,manufacturing,5,66648,student,south_america,1,0.68,1
organic_search,,3,56836,self_employed,south_america,5,0.08,1
events,technology,0,47144,unemployed,europe,7,0.95,0
organic_search,finance,2,50786,,africa,1,0.21,0
social_media,retail,2,61997,student,north_america,0,0.67,0
paid_ads,education,4,42802,unemployed,north_america,2,0.21,1
organic_search,education,1,73132,employed,north_america,4,0.43,1
organic_search,education,3,53005,unemployed,australia,2,0.95,1
paid_ads,education,6,35212,student,africa,1,0.54,1
events,healthcare,1,74927,student,south_america,2,0.15,0
social_media,finance,0,82784,,south_america,1,0.74,0
events,finance,1,83929,student,asia,4,0.02,0
paid_ads,education,0,43615,unemployed,south_america,2,0.01,0
referral,,9,61741,employed,south_america,2,0.66,1
organic_search,,1,,student,asia,5,0.14,1
paid_ads,manufacturing,0,46249,self_employed,europe,1,0.08,0
paid_ads,finance,3,35774,student,africa,4,0.75,1
paid_ads,education,2,58559,student,asia,4,0.34,1
social_media,other,5,,unemployed,north_america,3,0.34,1
paid_ads,education,2,49867,unemployed,north_america,4,0.15,0
social_media,retail,2,,employed,middle_east,3,0.49,1
organic_search,manufacturing,0,,employed,north_america,2,0.1,0
paid_ads,healthcare,2,,student,africa,4,0.51,1
,retail,2,73921,student,middle_east,5,0.42,1
,education,3,89042,employed,asia,4,0.75,1
social_media,education,1,62478,self_employed,south_america,4,0.63,1
events,finance,2,83543,employed,middle_east,4,0.22,1
organic_search,healthcare,2,59726,employed,north_america,3,0.03,1
,manufacturing,1,58646,student,australia,2,0.85,1
social_media,healthcare,3,64044,student,europe,1,0.81,1
paid_ads,,0,28278,unemployed,europe,2,0.79,0
paid_ads,,3,73645,employed,africa,2,0.02,0
referral,manufacturing,1,71451,employed,asia,3,0.99,1
organic_search,retail,1,69028,employed,south_america,6,0.5,1
paid_ads,technology,5,69822,employed,north_america,4,0.71,1
organic_search,technology,3,69299,unemployed,asia,4,0.39,0
referral,other,2,76063,student,australia,4,0.32,1
events,other,3,75413,student,,2,0.54,1
referral,healthcare,4,,employed,north_america,2,0.19,1
organic_search,retail,3,38993,self_employed,europe,3,0.29,1
paid_ads,manufacturing,0,62384,student,australia,4,0.82,0
social_media,,4,34879,employed,australia,2,0.07,1
events,education,2,53107,unemployed,europe,3,0.67,1
organic_search,technology,2,58172,student,asia,4,0.45,0
referral,retail,1,53224,student,australia,2,0.0,1
referral,technology,2,62893,self_employed,middle_east,4,0.48,1
social_media,education,0,48379,self_employed,australia,1,0.89,0
organic_search,education,2,54415,employed,middle_east,4,0.54,1
social_media,healthcare,1,64084,unemployed,middle_east,0,0.41,0
events,education,2,,self_employed,north_america,4,0.43,1
paid_ads,healthcare,1,61455,unemployed,asia,3,0.53,0
,healthcare,3,54830,self_employed,north_america,3,0.3,1
referral,,0,58594,employed,middle_east,5,0.38,1
organic_search,retail,3,,employed,north_america,3,0.34,1
,technology,3,49666,unemployed,africa,4,0.57,1
paid_ads,finance,2,40058,self_employed,africa,3,0.19,0
referral,technology,4,45215,student,europe,3,0.6,1
referral,healthcare,2,66134,employed,africa,2,0.3,1
organic_search,other,2,47995,self_employed,south_america,6,0.27,1
social_media,manufacturing,1,,self_employed,europe,1,0.65,0
paid_ads,retail,2,54023,self_employed,middle_east,2,0.7,0
paid_ads,retail,2,,employed,europe,3,0.52,1
events,education,2,60951,employed,africa,8,0.15,1
events,other,7,,student,asia,2,0.99,1
,education,1,60857,student,asia,5,0.44,1
social_media,manufacturing,5,62029,self_employed,asia,5,0.97,1
social_media,education,1,101908,student,asia,3,0.49,1
paid_ads,technology,1,102742,student,south_america,3,0.05,0
organic_search,manufacturing,4,69570,employed,north_america,2,0.54,1
referral,education,2,,employed,australia,4,0.6,1
paid_ads,manufacturing,2,47065,self_employed,north_america,5,0.52,1
paid_ads,finance,3,41665,self_employed,africa,3,0.68,1
social_media,education,1,52177,self_employed,asia,5,0.24,1
paid_ads,education,2,58152,self_employed,africa,1,0.81,0
organic_search,other,4,46974,employed,asia,4,0.2,1
paid_ads,other,1,57665,unemployed,north_america,5,0.54,0
events,education,2,75793,self_employed,asia,5,0.45,1
paid_ads,other,5,69765,self_employed,north_america,2,0.32,1
events,technology,3,,student,north_america,3,0.78,1
,other,3,57972,student,asia,3,0.81,1
organic_search,other,3,55633,self_employed,europe,3,0.48,1
social_media,technology,4,66219,student,,2,0.14,1
social_media,other,4,53556,self_employed,africa,2,0.18,0
referral,technology,2,39463,unemployed,asia,4,0.45,1
events,education,2,44137,self_employed,australia,5,0.15,1
referral,other,3,,unemployed,africa,1,0.61,1
organic_search,retail,2,62666,employed,africa,0,0.3,0
events,finance,1,60866,student,europe,3,0.13,0
,manufacturing,1,61170,,africa,8,0.2,1
organic_search,other,2,41719,unemployed,africa,1,0.17,0
paid_ads,finance,5,49383,self_employed,north_america,5,0.61,1
,technology,3,46828,self_employed,africa,4,0.59,1
events,,5,63111,employed,north_america,4,0.31,1
referral,healthcare,1,56507,student,north_america,2,0.63,0
events,healthcare,2,48075,unemployed,asia,4,0.74,1
paid_ads,other,2,78348,student,europe,5,0.65,1
,finance,1,58143,unemployed,europe,1,0.02,0
social_media,other,1,73697,employed,south_america,1,0.98,1
organic_search,finance,5,37279,self_employed,asia,2,0.66,1
organic_search,other,3,89856,student,europe,0,0.18,0
events,finance,4,,self_employed,south_america,8,0.22,1
social_media,technology,1,65738,employed,south_america,3,0.29,0
social_media,manufacturing,4,59754,self_employed,middle_east,3,0.27,1
organic_search,retail,6,62832,unemployed,,4,1.0,1
,other,2,51636,,europe,2,0.93,0
